nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout;
200;-1;0.047;0.042;0.004;0.001;23;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.158;0.154;0.004;0.0;24;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08800000000000001;0.084;0.004;0.0;24;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.079;0.071;0.005;0.003;24;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.09000000000000001;0.085;0.005;0.0;24;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.10400000000000001;0.096;0.007;0.001;24;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.053;0.048;0.005;0.0;24;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.043;0.039;0.004;0.0;24;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.065;0.057;0.008;0.0;24;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.087;0.078;0.008;0.001;24;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.05;0.042;0.008;0.0;24;-1;0;-1;4;6;2;1.125;200;225;-1;0;
200;-1;0.161;0.154;0.007;0.0;25;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.09000000000000001;0.084;0.006;0.0;25;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.077;0.071;0.006;0.0;25;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.09200000000000001;0.085;0.007;0.0;25;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.10400000000000001;0.096;0.007;0.001;25;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.055;0.048;0.007;0.0;25;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.046;0.039;0.007;0.0;25;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.068;0.057;0.011;0.0;25;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.083;0.078;0.005;0.0;25;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.046;0.042;0.004;0.0;25;-1;0;-1;4;6;2;1.125;200;225;-1;0;
200;-1;0.161;0.154;0.007;0.0;26;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.09000000000000001;0.084;0.006;0.0;26;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.077;0.071;0.006;0.0;26;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.094;0.085;0.009;0.0;26;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.108;0.096;0.012;0.0;26;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.054;0.048;0.006;0.0;26;-1;0;-1;0;1;2;1.105;200;220;-1;0;
